"Min" "Media" "Max" "Soma"
"2003" 419.2896308899 668.509901254216 733.183868409 762101.287429807
"2004" 2372.0396690358 2766.75082458033 2996.6695213313 3154095.94002157
"2005" 2510.0058250421 2800.36066417356 2986.361183166 3192411.15715786
"2006" 2532.1896705623 2826.10050846904 3029.8096923809 3221754.57965471
"2007" 2425.5655441276 2702.39917064801 2855.329544067 3080735.05453873
"2008" 2653.9302825927 2840.6559647275 3046.4241638192 3238347.79978934
"2009" 2817.1355323802 2969.5893376835 3090.633523941 3385331.84495919
"2010" 2660.6103134143 2920.25305836691 3001.8236465463 3329088.48653828
"2011" 2967.0953178409 3168.4217810381 3311.896720887 3612000.83038343
"2012" 2494.6302337643 2872.16220487957 3069.1675643916 3274264.91356271
"2013" 2611.4849395765 3099.1024012248 3248.9279327391 3532976.73739628
"2014" 2621.2711181655 3059.42226758773 3419.978376388 3487741.38505001
"2015" 2146.665781022 2435.41694353344 2586.3576927195 2776375.31562812
"2016" 2302.3714485167 2660.15336784228 2792.2076339714 3032574.8393402
"2017" 2637.6819591514 3147.69322885051 3326.0652999882 3588370.28088958
"2018" 2873.5721206655 3370.10995556021 3643.2216262825 3841925.34933864
"2019" 2138.239929197 2385.87992055803 2680.824478148 2719903.10943615
