"x" "y" "jan" "fev" "mar" "abr" "mai" "jun" "jul" "ago" "set" "out" "nov" "dez"
"V1" -1.09347265135 -48.237818987 338.697110175937 430.848356247 498.060018539438 464.70193672175 348.577309608563 186.632089614975 182.61534118654 140.074526310037 76.5525163411938 72.8088495731 69.1915088891625 212.405070066475
"V2" -1.10312465125 -48.430858985 331.88488006575 384.095978736875 446.72477722175 484.75984001175 355.26496887225 191.1280021667 174.334236653767 136.882332801906 78.365180492425 74.8496634959812 67.6515951157063 230.0249581338
"V3" -1.10312465125 -48.4212069851 331.88488006575 384.095978736875 446.72477722175 484.75984001175 355.26496887225 191.1280021667 174.334236653767 136.882332801906 78.365180492425 74.8496634959812 67.6515951157063 230.0249581338
"V4" -1.10312465125 -48.4115549852 331.88488006575 384.095978736875 446.72477722175 484.75984001175 355.26496887225 191.1280021667 174.334236653767 136.882332801906 78.365180492425 74.8496634959812 67.6515951157063 230.0249581338
"V5" -1.10312465125 -48.4019029853 331.88488006575 384.095978736875 446.72477722175 484.75984001175 355.26496887225 191.1280021667 174.334236653767 136.882332801906 78.365180492425 74.8496634959812 67.6515951157063 230.0249581338
"V6" -1.10312465125 -48.3922509854 328.804540634188 381.642400741625 434.547418594375 478.806663513125 354.073176384 186.066875457781 174.235000864693 138.382017135631 78.3297703266375 72.5719713568875 65.0568655729375 222.866007328113
"V7" -1.10312465125 -48.3825989855 328.804540634188 381.642400741625 434.547418594375 478.806663513125 354.073176384 186.066875457781 174.235000864693 138.382017135631 78.3297703266375 72.5719713568875 65.0568655729375 222.866007328113
"V8" -1.10312465125 -48.3729469856 328.804540634188 381.642400741625 434.547418594375 478.806663513125 354.073176384 186.066875457781 174.235000864693 138.382017135631 78.3297703266375 72.5719713568875 65.0568655729375 222.866007328113
"V9" -1.10312465125 -48.3632949857 328.804540634188 381.642400741625 434.547418594375 478.806663513125 354.073176384 186.066875457781 174.235000864693 138.382017135631 78.3297703266375 72.5719713568875 65.0568655729375 222.866007328113
"V10" -1.10312465125 -48.3536429858 328.804540634188 381.642400741625 434.547418594375 478.806663513125 354.073176384 186.066875457781 174.235000864693 138.382017135631 78.3297703266375 72.5719713568875 65.0568655729375 222.866007328113
"V11" -1.10312465125 -48.3439909859 340.19902610775 389.855724334813 455.608133316062 468.054542541438 345.666170120313 185.591108799075 175.158648172947 139.210411548544 82.209718704225 74.8528650999063 69.348599553075 227.023631811081
"V12" -1.10312465125 -48.2667749867 342.48998355875 396.374715805063 467.310081481938 462.358386993437 347.343300819438 189.429388522994 181.099814351467 142.592292308825 84.5293147563937 75.380829811075 73.3473724127 223.143339157012
"V13" -1.10312465125 -48.2571229868 342.48998355875 396.374715805063 467.310081481938 462.358386993437 347.343300819438 189.429388522994 181.099814351467 142.592292308825 84.5293147563937 75.380829811075 73.3473724127 223.143339157012
"V14" -1.10312465125 -48.2474709869 343.16982173925 396.782333374062 458.152341842563 455.502649307187 346.478347778375 185.716079711938 181.69299112964 145.3733959199 84.9302647114125 74.3112351894062 74.48219692705 221.796726465219
"V15" -1.10312465125 -48.237818987 343.16982173925 396.782333374062 458.152341842563 455.502649307187 346.478347778375 185.716079711938 181.69299112964 145.3733959199 84.9302647114125 74.3112351894062 74.48219692705 221.796726465219
"V16" -1.11277665115 -48.4405109849 331.88488006575 384.095978736875 446.72477722175 484.75984001175 355.26496887225 191.1280021667 174.334236653767 136.882332801906 78.365180492425 74.8496634959812 67.6515951157063 230.0249581338
"V17" -1.11277665115 -48.430858985 331.88488006575 384.095978736875 446.72477722175 484.75984001175 355.26496887225 191.1280021667 174.334236653767 136.882332801906 78.365180492425 74.8496634959812 67.6515951157063 230.0249581338
