"x" "y" "altitude"
"256693" -48.3428862030245 -1.30938373881465 13
"385500" -48.41060272478 -1.41331691793971 41
"55694" -48.2141502136184 -1.14583558470965 16
"211981" -48.4471017053574 -1.27453866367615 17
"140185" -48.3497583021974 -1.21718473164258 19
"439221" -48.3010701912146 -1.46290332677109 21
"141463" -48.3730655835537 -1.2183248881302 17
"80615" -48.2560249995726 -1.1659837861821 23
"61540" -48.2174746271073 -1.1508655484338 12
"357554" -48.4639104315937 -1.39103076302231 27
"48353" -48.3312416236468 -1.13924494836498 37
"351567" -48.445876719268 -1.38626284976241 24
"85156" -48.2722522358127 -1.16990951269057 20
"254835" -48.326635665505 -1.30737143375524 16
"162244" -48.2476311730353 -1.23621161205953 25
"245120" -48.4332010762951 -1.29994203506489 23
"121571" -48.3066281826181 -1.19996582747247 26
"181964" -48.4368556846032 -1.25246279390502 18
"259760" -48.313836356348 -1.31145384082202 20
"426598" -48.4557995805776 -1.44837475834859 6
"172472" -48.4378802247833 -1.24520169291275 11
"305826" -48.447166429725 -1.3475792975558 12
"815" -48.3565577866076 -1.06385906634952 24
"355467" -48.2638348934105 -1.38913007570025 41
"300412" -48.4481428084586 -1.34269233291298 21
"658" -48.3535065350424 -1.06285097575823 15
"367748" -48.4679256940329 -1.39927499184303 15
"34566" -48.3273696486445 -1.12555625443134 29
"120221" -48.3919532496916 -1.19879224046543 12
"97481" -48.2357853208177 -1.17987128808103 23
"375213" -48.2421734730801 -1.40488330646879 13
"263658" -48.4745357779683 -1.31422931606765 8
"221377" -48.3578797152362 -1.28143039762732 16
"399356" -48.3947378116759 -1.42408709475978 20
"382485" -48.2421667414302 -1.41060827315644 23
"318312" -48.277327873824 -1.35800656734518 31
"418313" -48.3592327748313 -1.44048984775285 18
"322388" -48.4167641156908 -1.36165202917644 23
"78237" -48.3180385463266 -1.16436826603915 15
"85450" -48.3062410053185 -1.16994258594778 17
"79949" -48.3722829432194 -1.16581620205433 30
"347653" -48.4331142771662 -1.38317653621874 18
"103243" -48.1499328180782 -1.18374932421746 24
"367459" -48.4247717484153 -1.39894838089769 20
"220815" -48.2148444948242 -1.28071928333611 23
"447168" -48.4551981528294 -1.48934032118978 8
"29215" -48.4237973500871 -1.11963850817081 8
"455493" -48.4199322815613 -1.50619714117199 15
"295147" -48.2994094789963 -1.33806295555265 13
"340007" -48.2971468245641 -1.37660108634431 31
"386609" -48.4347456782058 -1.41418182865682 20
"224789" -48.3309609269986 -1.28419517322516 9
"434598" -48.262231392293 -1.45475706683798 16
"74026" -48.1833400076287 -1.16088492593141 36
"65941" -48.3960176174488 -1.15480594898558 26
"54103" -48.3723020740204 -1.14500855657653 29
"13933" -48.3462605571493 -1.09959950357716 18
"401803" -48.3323054715944 -1.42557041548886 21
"200488" -48.3555084088899 -1.26665330671053 12
"72607" -48.2571407401166 -1.15984091927677 28
"107079" -48.2976232447029 -1.1869703448382 22
"43519" -48.4184658189619 -1.13448365178194 13
"337413" -48.3904430617262 -1.37413617608498 25
"435345" -48.4885396748614 -1.45613945246232 21
"30401" -48.3884174216404 -1.12086383834553 17
"299122" -48.3496306844176 -1.34146961991915 16
"443826" -48.41219341661 -1.47895558711052 17
"184765" -48.4507286421938 -1.25471093775017 15
"141939" -48.2240659155429 -1.21845369963365 24
"104145" -48.254619734422 -1.18441425192171 14
"339460" -48.4711412723511 -1.37665365255084 14
"108141" -48.3422945374794 -1.18813110879864 12
"157264" -48.3113135986039 -1.2318087903652 17
"48955" -48.2865698981321 -1.13976148328483 3
"269999" -48.4585272820119 -1.31933376369691 17
"427187" -48.4946534675118 -1.44888388227527 9
"372988" -48.3616799714549 -1.40339306465645 20
"212052" -48.3990941692218 -1.27449029206363 34
