"x" "y" "alt"
"37918" -48.3047789360464 -1.24576624067481 16
"53859" -48.2903691133167 -1.22745860568323 5
"36981" -48.4010965181243 -1.21332479626631 14
"46760" -48.3875284883481 -1.18286784369553 23
"55143" -48.3013222219335 -1.36487604925054 32
"75693" -48.3763891524749 -1.22475201063658 15
"24058" -48.292955045662 -1.13585762364778 13
"57343" -48.3646942453703 -1.39622790564221 22
"62756" -48.418490994479 -1.45667425392947 16
"2868" -48.4146362235398 -1.40466294106205 9
"69342" -48.4324066691187 -1.26167566151338 14
"59352" -48.4800274906484 -1.49816764639161 22
"51339" -48.4462931827455 -1.50999913339354 17
"58605" -48.4570820330902 -1.28460398478725 22
"74010" -48.3454162379837 -1.11300473899228 24
"38079" -48.2209596479858 -1.22070202686765 25
"14741" -48.4412170018468 -1.45943761402798 8
"12724" -48.4518400106476 -1.25331545327408 16
"25446" -48.1520860257869 -1.20315913577352 32
"45443" -48.3325777356772 -1.45316618873438 13
"72901" -48.450114627469 -1.31420433049215 34
"36936" -48.270478244206 -1.40310149957027 12
"31604" -48.3469886228004 -1.13849154233031 11
"61873" -48.2233847424403 -1.33602264730762 40
"43635" -48.4047857210536 -1.12423015080838 25
"17710" -48.3787551485383 -1.47668168928179 10
"52964" -48.2701743111194 -1.42572230602356 23
"58045" -48.3889923741065 -1.38117296140487 21
"34445" -48.3662657246971 -1.24010329191916 17
"1697" -48.4026306774052 -1.20494715416567 15
"16130" -48.3239528541754 -1.21743835375054 19
"43234" -48.3343156666723 -1.30456349667913 15
"22984" -48.3214900706544 -1.13276570973639 14
"24789" -48.4161531003344 -1.28162991401811 29
"29537" -48.4859424430831 -1.2854707099374 10
"62476" -48.3089919675394 -1.45183470005662 18
"34356" -48.5019686656871 -1.35531796665686 18
"18058" -48.3888894854191 -1.34793604533648 13
"65953" -48.4666440768146 -1.14886488193317 17
"3883" -48.2742171180674 -1.14617306041326 14
"57511" -48.4578194305579 -1.50261086792015 21
"9779" -48.4519498087101 -1.4161561130028 9
"40193" -48.3105954475156 -1.25596606631187 17
"34616" -48.4299432390506 -1.22648012937715 24
"42495" -48.3865842844971 -1.15368002713931 22
"16521" -48.3573495655704 -1.25699162757175 21
"60741" -48.3512605985538 -1.09318024096144 19
"57254" -48.2704172122418 -1.45476705379659 20
"18693" -48.5109476568795 -1.25560731554291 20
"16086" -48.2327692154482 -1.37931937386718 37
"33137" -48.3832974854264 -1.25408529424266 21
"47748" -48.3252788046674 -1.33071833378667 22
"27774" -48.2676594145692 -1.44052077088819 21
"27471" -48.2826712302135 -1.41707962107985 25
"39512" -48.2979729696218 -1.38218763230502 31
